category,model,true_wer,n_ref,sub_wer,calibration,cal_lo,cal_hi,true_wer_lo,true_wer_hi
clean,model-asr,0.09880478087649402,1255,0.19043321299638988,0.09162843211989585,0.03698119671378801,0.14223759867459312,0.07131901840490798,0.12914188615123195
clean,model-stt,0.07171314741035857,1255,0.18772563176895307,0.1160124843585945,0.06300182697162202,0.1704083399571486,0.04798172124904798,0.10033444816053512
fast_overlap,model-asr,0.11481719050673508,1559,0.12632275132275134,0.011505560816016253,-0.023762695330198744,0.046042034164992585,0.09143185738930419,0.14071661237785016
fast_overlap,model-stt,0.06799230275817832,1559,0.08068783068783068,0.012695527929652367,-0.015748974168771537,0.04375176552854715,0.0492836676217765,0.08819241982507289
music,model-asr,0.2127659574468085,799,0.2013888888888889,-0.011377068557919617,-0.08780197827918038,0.05977198437375428,0.1631578947368421,0.26812585499316005
music,model-stt,0.17897371714643304,799,0.1527777777777778,-0.026195939368655247,-0.09253028263795424,0.04143356643356644,0.13434903047091412,0.23013698630136986
noise,model-asr,0.16901408450704225,142,0.19083969465648856,0.02182561014944631,-0.11713096064241102,0.17951807228915662,0.10303030303030303,0.2536231884057971
noise,model-stt,0.19014084507042253,142,0.2366412213740458,0.046500376303623275,-0.19500856373868364,0.2798935298935299,0.07407407407407407,0.3888888888888889
